Filename, Type of Algorithm, Profit, Profit after Local Search, Optimal Profit, Error, sizeOfPathSet, StopFactor, CPU Time(ms), Run Time(ms), Route, Requests
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo1_a,1.05994,1.58318,1.65874,0.07556,3,3,30,44.5069,1 7 6 20 ,1:7 6:20 7:6 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo1_a_disRatio_a,0.57092,1.58318,1.65874,0.07556,4,3,60,69.9117,1 7 6 20 ,1:7 6:20 7:6 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo1_a_disRatio_b,1.16708,1.58318,1.65874,0.07556,5,3,50,73.1459,1 7 6 20 ,1:7 6:20 7:6 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo1_b,1.05994,1.58318,1.65874,0.07556,2,3,30,35.96,1 7 6 20 ,1:7 6:20 7:6 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo1_b_disRatio_a,0.82182,1.58318,1.65874,0.07556,13,3,170,194.433,1 7 6 20 ,1:7 6:20 7:6 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo2_b,1.0957,1.65874,1.65874,0,6,3,60,78.3697,1 7 6 5 15 20 ,1:7 5:15 6:5 7:6 15:20 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo2_b_disRatio,-0.1568,1.37814,1.65874,0.2806,6,3,90,99.5972,1 9 15 20 ,1:9 9:15 15:20 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo2_c,1.35914,1.37814,1.65874,0.2806,2,3,30,32.9612,1 9 15 20 ,1:9 9:15 15:20 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo3_a,1.37814,1.37814,1.65874,0.2806,2,3,20,33.189,1 9 15 20 ,1:9 9:15 15:20 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo3_b,1.43598,1.43598,1.65874,0.22276,0,0,10,3.93037,1 12 20 ,1:12 12:20 
BPMP_Data_Files/20_nodes/t20_01_data.txt,GreedyAlgo4,-0.9267,1.65874,1.65874,0,20,2,250,270.318,1 7 6 5 15 20 ,1:7 5:15 6:5 7:6 15:20 
BPMP_Data_Files/20_nodes/t20_02_data.txt,GreedyAlgo1_a,1.6132,1.6132,1.6132,0,0,0,0,3.9537,1 4 20 ,1:4 4:20 
BPMP_Data_Files/20_nodes/t20_02_data.txt,GreedyAlgo1_a_disRatio_a,1.03046,1.36142,1.6132,0.25178,11,3,150,156.576,1 7 9 18 15 20 ,1:7 7:9 9:18 15:20 18:15 
BPMP_Data_Files/20_nodes/t20_02_data.txt,GreedyAlgo1_a_disRatio_b,1.28298,1.35132,1.6132,0.26188,7,3,50,66.9167,1 7 9 20 ,1:7 7:9 9:20 
BPMP_Data_Files/20_nodes/t20_02_data.txt,GreedyAlgo1_b,0.94204,1.41136,1.6132,0.20184,6,0,50,52.5111,1 12 20 ,1:12 12:20 
BPMP_Data_Files/20_nodes/t20_02_data.txt,GreedyAlgo1_b_disRatio_a,0.3099,1.36142,1.6132,0.25178,12,3,80,88.3684,1 7 9 18 15 20 ,1:7 7:9 9:18 15:20 18:15 
BPMP_Data_Files/20_nodes/t20_02_data.txt,GreedyAlgo2_b,0.91312,1.29688,1.6132,0.31632,3,3,20,36.3846,1 10 19 20 ,1:10 10:19 10:20 19:20 
