
param n:=20;
param p:=1.2;
param c:=1;
param Q:=1;
param v:=0.1;
param DIS:=20;
#data is from 20 locations case 1
param w: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
1  0.7	0.8	0.7	0.1	0.5	0.7	1.0	0.6	0.9	0.5	0.4	0.8	0.7	0.7	0.6	0.3	0.8	0.8	0.1	0.6
2  0.0	0.3	0.5	0.7	0.4	0.4	0.9	0.4	0.7	0.7	0.8	0.3	0.5	0.5	0.4	0.0	0.2	0.4	0.7	0.1
3  0.9	0.1	1.0	0.6	0.7	0.5	0.9	0.5	0.3	0.0	0.1	0.3	0.3	0.6	0.1	0.7	0.9	0.0	0.1	0.6
4  0.7	1.0	0.9	0.2	0.5	0.3	0.2	0.7	0.6	0.9	0.8	0.5	1.0	0.8	0.0	0.7	0.3	0.9	0.2	0.7
5  0.9	0.3	1.0	0.2	0.8	0.1	0.9	0.7	0.1	0.1	0.3	0.8	0.0	0.2	1.0	0.5	0.5	0.2	0.2	0.1
6  0.1	0.0	0.5	0.0	0.8	0.6	0.7	0.1	0.5	0.9	0.8	0.4	0.2	0.8	0.6	1.0	0.8	0.5	0.7	0.9
7  0.6	0.0	0.7	0.6	0.2	0.6	0.1	0.7	0.9	0.3	0.8	1.0	0.3	0.3	0.0	0.1	0.9	0.7	0.2	0.3
8  0.6	0.0	0.7	0.8	0.8	0.3	0.7	0.6	0.9	0.4	0.5	0.5	0.5	0.2	0.1	0.7	0.8	0.3	0.4	0.7
9  0.6	0.2	0.7	0.9	0.5	0.7	0.0	0.4	0.4	0.3	0.7	0.0	0.3	0.5	0.8	0.1	0.8	0.5	0.7	0.6
10  1.0	0.2	0.1	0.4	0.4	0.2	0.1	0.3	0.5	0.5	1.0	0.0	0.7	0.6	1.0	0.2	0.3	0.0	0.6	0.7
11  0.3	0.4	0.7	0.6	0.8	0.4	0.7	0.6	1.0	0.4	0.2	0.9	0.6	0.3	0.4	0.0	0.5	0.5	0.3	1.0
12  0.0	0.3	0.0	0.7	0.9	1.0	1.0	0.2	1.0	0.6	0.8	0.3	0.9	0.5	0.9	0.8	0.9	0.6	0.3	0.9
13  0.9	0.6	0.8	0.6	0.9	0.1	0.6	0.4	0.6	0.9	0.4	0.6	0.2	0.4	0.4	0.0	0.3	0.3	0.2	0.3
14  0.9	1.0	0.6	0.9	0.5	0.5	0.6	0.4	0.0	1.0	0.2	1.0	0.5	0.0	0.5	0.4	0.2	0.1	0.8	0.8
15  0.0	0.1	0.4	0.2	0.5	0.8	0.2	0.9	0.1	0.4	0.2	0.0	0.4	0.8	0.9	0.8	0.2	0.5	0.2	0.2
16  0.5	0.5	0.2	0.0	0.5	0.7	0.4	0.6	0.8	0.2	0.4	0.8	0.4	0.8	0.0	0.9	0.6	0.2	0.7	0.8
17  0.6	0.9	0.8	1.0	0.7	0.7	0.8	0.9	0.2	0.0	0.1	0.7	0.5	0.3	0.8	1.0	0.0	0.2	0.6	0.8
18  0.4	0.0	0.7	0.8	0.9	0.7	0.6	0.5	0.9	0.4	0.3	0.5	0.3	0.1	0.4	0.9	0.8	0.3	0.8	0.1
19  0.3	0.9	0.8	0.8	0.2	0.6	0.8	0.2	0.8	0.4	0.1	0.2	0.5	0.7	1.0	0.4	0.4	0.6	0.9	0.2
20  1.0	0.2	0.7	0.2	0.3	0.1	0.2	0.2	0.4	1.0	0.3	0.7	0.9	0.1	0.5	0.2	0.7	0.3	0.4	0.5
;
param d: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
1  0.000	4.778	8.293	8.871	5.972	7.582	8.326	11.773	14.436	6.316	3.977	8.161	8.365	7.193	10.345	10.887	4.026	12.628	5.625	10.000
2  4.778	0.000	6.084	4.170	2.698	5.882	5.920	8.726	9.814	3.346	4.637	9.464	4.442	9.434	5.646	7.542	8.016	9.089	4.541	5.346
3  8.293	6.084	0.000	7.743	8.653	11.930	11.812	3.619	8.923	2.741	4.628	6.116	3.256	7.294	6.486	3.146	12.316	4.847	10.605	6.020
4  8.871	4.170	7.743	0.000	3.776	6.257	5.495	8.766	6.712	5.550	8.405	12.778	4.627	13.127	2.861	7.443	11.608	8.364	6.201	2.936
5  5.972	2.698	8.653	3.776	0.000	3.298	3.223	10.911	10.422	5.923	7.138	12.059	6.446	11.859	6.329	9.640	8.008	10.991	2.512	6.216
6  7.582	5.882	11.930	6.257	3.298	0.000	1.193	14.178	12.894	9.191	9.894	14.840	9.706	14.367	9.090	12.892	7.949	14.172	1.957	9.084
7  8.326	5.920	11.812	5.495	3.223	1.193	0.000	13.795	11.998	9.106	10.240	15.190	9.341	14.855	8.356	12.487	9.045	13.662	2.821	8.402
8  11.773	8.726	3.619	8.766	10.911	14.178	13.795	0.000	6.979	5.635	8.240	8.952	4.472	10.455	6.436	1.325	15.767	1.608	13.195	6.099
9  14.436	9.814	8.923	6.712	10.422	12.894	11.998	6.979	0.000	8.730	12.335	15.039	6.482	16.135	4.196	6.247	17.817	5.514	12.898	4.468
10  6.316	3.346	2.741	5.550	5.923	9.191	9.106	5.635	8.730	0.000	3.607	7.277	2.257	7.851	5.223	4.614	10.225	6.329	7.878	4.762
11 3.977	4.637	4.628	8.405	7.138	9.894	10.240	8.240	12.335	3.607	0.000	4.953	5.854	4.801	8.733	7.584	7.942	9.346	8.109	8.289
12 8.161	9.464	6.116	12.778	12.059	14.840	15.190	8.952	15.039	7.277	4.953	0.000	9.023	1.874	12.304	9.035	11.505	10.498	13.025	11.829
13 8.365	4.442	3.256	4.627	6.446	9.706	9.341	4.472	6.482	2.257	5.854	9.023	0.000	9.853	3.293	3.195	12.131	4.651	8.780	2.819
14 7.193	9.434	7.294	13.127	11.859	14.367	14.855	10.455	16.135	7.851	4.801	1.874	9.853	0.000	13.050	10.371	10.136	11.942	12.471	12.582
15 10.345	5.646	6.486	2.861	6.329	9.090	8.356	6.436	4.196	5.223	8.733	12.304	3.293	13.050	0.000	5.173	13.628	5.740	8.836	0.475
16 10.887	7.542	3.146	7.443	9.640	12.892	12.487	1.325	6.247	4.614	7.584	9.035	3.195	10.371	5.173	0.000	14.833	1.765	11.962	4.815
17 4.026	8.016	12.316	11.608	8.008	7.949	9.045	15.767	17.817	10.225	7.942	11.505	12.131	10.136	13.628	14.833	0.000	16.553	6.323	13.353
18 12.628	9.089	4.847	8.364	10.991	14.172	13.662	1.608	5.514	6.329	9.346	10.498	4.651	11.942	5.740	1.765	16.553	0.000	13.394	5.495
19 5.625	4.541	10.605	6.201	2.512	1.957	2.821	13.195	12.898	7.878	8.109	13.025	8.780	12.471	8.836	11.962	6.323	13.394	0.000	8.729
