
param n:=20;
param p:=1.2;
param c:=1;
param Q:=1;
param v:=0.1;
param DIS:=20;
#data is from 20 locations case 2

param w: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
1	1	0.3	0.2	1	0.7	0	0.9	0.4	0.9	0.9	0.9	0.9	0.6	0.5	0.4	0.4	0.2	0.8	0.4	0.1
2	0.3	0.7	0.1	0.8	0.8	0.2	0.7	0.9	0.4	0.1	0.5	0.4	0.4	0.7	0.4	0.1	0.8	0.2	0.5	0.7
3	0.1	0.3	0.6	0.7	0.8	0	0.1	1	0.8	0.4	0.1	0.2	0.1	0.2	1	0.9	0.5	0.7	0.8	0.9
4	0.8	0.3	0.3	0.1	0	0.6	0.2	0.8	0.9	0.7	0.5	0.9	0	0.1	0.6	0.8	0.1	0.7	0.8	1
5	0.1	1	0.1	0.2	0.2	0.1	0.1	0.7	0.8	0.9	0.6	0.5	0.2	0.9	0.7	0.2	0.5	0.9	0	0.4
6	0.5	0.5	0.3	0.5	0.6	0.9	0.4	0.7	0.6	0.2	0.7	0.7	0.1	0.8	0.9	0.3	0.9	1	0	0.7
7	0.9	0.6	0.2	0.1	0.4	0.9	0.3	0.9	0.8	0.3	0.3	0.3	0.8	0.6	0.8	0.4	0.5	0.2	0.1	0
8	0.4	0.8	0.7	0.5	0.6	0.6	0.8	0.5	0.6	0.8	0.2	0.5	0.4	0.4	0.5	0.8	0.3	0.8	0.7	0.1
9	0.1	1	0.4	0.9	0.6	0.3	0.3	0	0.4	0.4	0	0.8	0.2	0.8	0.3	0.9	0.3	0.1	0.4	0.9
10	0.9	0.6	0.4	0.2	0	0.9	0	0.4	0.8	0.8	0.5	0.9	0.7	0.9	0.8	0.3	0.1	0.2	0.3	0.6
11	0.6	0.4	0.4	0.9	0.1	0.7	0.7	0.4	0.7	0.1	0.4	0.6	0.7	0.7	0.9	0.7	0.7	0.9	0	0.4
12	0.7	0.5	0.3	0.4	0.4	0.2	0.7	0.5	0.4	0	0.1	1	0.4	0.5	0.8	0.5	0.2	0.6	1	0.9
13	0.7	0.3	0.6	0.3	0.1	0.4	1	0.7	0.3	0	0.2	0	0.5	0.5	0.4	0.9	0.7	0.1	0.5	0.1
14	0.2	0.6	0	0.6	0.2	0.9	0.1	0.4	0.4	0	0.3	0.1	0.3	0.9	0.4	0.4	0.3	0.4	0.1	0.6
15	0.4	0.3	0.7	1	0.8	0.1	0.9	0.5	0.2	0.4	0.5	0.4	0	0.6	1	0.2	0.4	0	0.5	0.9
16	0	0.8	1	0.4	0.7	0.4	0.7	0	0.8	0.9	0.7	0.3	0.1	0.3	0.2	1	0.4	0.2	0.4	0.6
17	0.6	1	0	0.6	0.6	1	0.8	0	0	0.3	0.9	0	0.2	0.9	0.4	0.9	0.3	0.1	0.9	0.1
18	1	0.5	0.4	0.1	0.8	0.6	0.1	0.2	0.8	0.5	0.9	0.4	0.5	0.9	1	0.1	0.9	0.8	0.1	0.9
19	0.1	0.1	0.9	0.3	0.9	0.3	0.1	0.2	0.5	0	0.3	0.5	0.5	0.7	0.6	0.4	0.3	0.7	0.6	0.1
20	0.3	0.5	0.5	0.8	0.4	0.5	0.9	0.3	0.3	0.1	0.3	0.4	0.1	0.2	0.6	0.1	0.5	0.8	0.3	0
;
param d: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
1	0	11.767	7.719	8.5	10.848	8.403	2.185	5.417	2.957	7.911	6.729	13.814	11.247	13.84	5.745	11.937	13.94	2.378	8.034	10
2	11.767	0	12.859	5.43	13.453	11.079	13.085	16.422	14.723	8.972	16.48	5.125	5.357	8.969	8.217	11.437	3.784	13.616	3.737	4.645
3	7.719	12.859	0	12.848	3.309	2.279	9.772	7.176	8.671	14.124	5.496	11.774	9.01	9.306	4.953	5.579	12.863	9.721	10.204	8.661
4	8.5	5.43	12.848	0	14.675	11.864	9.063	13.846	11.276	3.543	14.673	10.039	8.979	12.824	7.978	13.751	9.069	9.662	3.462	7.632
5	10.848	13.453	3.309	14.675	0	2.847	12.963	10.35	11.977	16.509	8.408	11.068	8.656	7.556	6.805	3.198	12.497	12.955	11.579	8.85
6	8.403	11.079	2.279	11.864	2.847	0	10.574	9.081	9.985	13.666	7.656	9.555	6.84	7.063	3.958	3.708	10.725	10.65	8.861	6.656
7	2.185	13.085	9.772	9.063	12.963	10.574	0	5.98	2.61	7.58	7.855	15.638	13.181	15.942	7.857	14.121	15.606	0.608	9.374	11.871
8	5.417	16.422	7.176	13.846	10.35	9.081	5.98	0	3.453	13.25	2.417	17.292	14.482	15.961	8.755	12.702	17.861	5.503	12.823	13.559
9	2.957	14.723	8.671	11.276	11.977	9.985	2.61	3.453	0	10.134	5.565	16.577	13.918	16.168	8.198	13.68	16.807	2.079	10.992	12.749
